campus,street_address,city,state,zip
Cal Poly Humboldt,1 Harpst St,Arcata,CA,95521
Cal Poly Pomona,3801 W Temple Ave,Pomona,CA,91768
Cal Poly San Luis Obispo,1 Grand Ave,San Luis Obispo,CA,93407
CSU Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,93311
CSU Channel Islands,1 University Dr,Camarillo,CA,93012
CSU Chico,400 W 1st St,Chico,CA,95929
CSU Dominguez Hills,1000 E Victoria St,Carson,CA,90747
CSU East Bay,25800 Carlos Bee Blvd,Hayward,CA,94542
CSU Fresno,5241 N Maple Ave,Fresno,CA,93740
CSU Fullerton,800 N State College Blvd,Fullerton,CA,92831
CSU Long Beach,1250 Bellflower Blvd,Long Beach,CA,90840
CSU Los Angeles,5151 State University Dr,Los Angeles,CA,90032
CSU Maritime Academy,200 Maritime Academy Dr,Vallejo,CA,94590
CSU Monterey Bay,100 Campus Center,Seaside,CA,93955
CSU Northridge,18111 Nordhoff St,Northridge,CA,91330
CSU Sacramento,6000 J St,Sacramento,CA,95819
CSU San Bernardino,5500 University Pkwy,San Bernardino,CA,92407
CSU San Marcos,333 S Twin Oaks Valley Rd,San Marcos,CA,92096
CSU Stanislaus,1 University Cir,Turlock,CA,95382
San Diego State University,5500 Campanile Dr,San Diego,CA,92182
San Francisco State University,1600 Holloway Ave,San Francisco,CA,94132
San José State University,1 Washington Sq,San Jose,CA,95192
Sonoma State University,1801 E Cotati Ave,Rohnert Park,CA,94928
